Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW 6 серия GT 2.0 AT, 2020, 121 000 км",6-Series,2020,2.0,дизель,задний,190,121000,,3590000,https://www.avito.ru/krasnodar/avtomobili/bmw_6_seriya_gt_2.0_at_2020_121_000_km_4584762210?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2017, 210 000 км",X6,2017,3.0,дизель,полный,249,210000,,3870000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x6_3.0_at_2017_210_000_km_4870242021?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2021, 24 000 км",X3,2021,2.0,бензин,полный,249,24000,,5800000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2021_24_000_km_7201123397?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 M 3.0 AT, 2019, 52 000 км",X3,2019,3.0,бензин,полный,510,52000,,7250000,https://www.avito.ru/krasnodar/avtomobili/bmw_x3_m_3.0_at_2019_52_000_km_4464202410?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X4 2.0 AT, 2024, 5 км",X4,2024,2.0,бензин,полный,249,5,,7700000,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2024_5_km_7224602204?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 4.4 AT, 2019, 54 500 км",X6,2019,4.4,бензин,полный,530,54500,,8300000,https://www.avito.ru/moskva/avtomobili/bmw_x6_4.4_at_2019_54_500_km_4566472142?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X7 3.0 AT, 2023, 28 500 км",X7,2023,3.0,бензин,полный,380,28500,,13299990,https://www.avito.ru/ufa/avtomobili/bmw_x7_3.0_at_2023_28_500_km_7199656828?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X7 3.0 AT, 2019, 128 000 км",X7,2019,3.0,бензин,полный,340,128000,,5999000,https://www.avito.ru/ufa/avtomobili/bmw_x7_3.0_at_2019_128_000_km_4787360421?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2020, 64 000 км",X6,2020,3.0,бензин,полный,340,64000,,8300000,https://www.avito.ru/chelyabinsk/avtomobili/bmw_x6_3.0_at_2020_64_000_km_4190952015?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X4 2.0 AT, 2020, 69 500 км",X4,2020,2.0,дизель,полный,190,69500,,5140000,https://www.avito.ru/ekaterinburg/avtomobili/bmw_x4_2.0_at_2020_69_500_km_4455519421?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 6 серия 3.0 AT, 2011, 103 180 км",6-Series,2011,3.0,бензин,задний,320,103180,,3500000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_6_seriya_3.0_at_2011_103_180_km_4610966881?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2019, 102 000 км",X3,2019,2.0,бензин,полный,249,102000,,3470000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_102_000_km_4793501813?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
